cve_id,published_ts,cvss3_base_score,problemtype_json,repo_url,repo_name
CVE-2016-6519,2017-04-21 15:59:00+00,5.4,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/openstack/manila-ui,openstack/manila-ui
CVE-2016-6580,2017-01-10 15:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/python-hyper/priority,python-hyper/priority
CVE-2016-6580,2017-01-10 15:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/python-hyper/priority,python-hyper/priority
CVE-2016-6581,2017-01-10 15:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/python-hyper/hpack,python-hyper/hpack
CVE-2016-6581,2017-01-10 15:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/python-hyper/hpack,python-hyper/hpack
CVE-2016-6581,2017-01-10 15:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/python-hyper/hpack,python-hyper/hpack
CVE-2016-6639,2016-09-18 02:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-254'}]}]",https://github.com/cloudfoundry/php-buildpack,cloudfoundry/php-buildpack
CVE-2016-7401,2016-10-03 18:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-254'}]}]",https://github.com/django/django,django/django
CVE-2016-7401,2016-10-03 18:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-254'}]}]",https://github.com/django/django,django/django
CVE-2016-7401,2016-10-03 18:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-254'}]}]",https://github.com/django/django,django/django
CVE-2016-7404,2019-06-21 14:15:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/magnum,openstack/magnum
